2021-04-01 00:44:32 startup archives unpack
2021-04-01 00:44:32 install manpages:all <none> 4.10-2
2021-04-01 00:44:32 status half-installed manpages:all 4.10-2
2021-04-01 00:44:32 status unpacked manpages:all 4.10-2
2021-04-01 00:44:32 status unpacked manpages:all 4.10-2
2021-04-01 00:44:32 install xz-utils:amd64 <none> 5.2.2-1.2+b1
2021-04-01 00:44:32 status half-installed xz-utils:amd64 5.2.2-1.2+b1
2021-04-01 00:44:32 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2021-04-01 00:44:32 status unpacked xz-utils:amd64 5.2.2-1.2+b1
2021-04-01 00:44:32 install binutils:amd64 <none> 2.28-5
2021-04-01 00:44:32 status triggers-pending libc-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:32 status half-installed binutils:amd64 2.28-5
2021-04-01 00:44:33 status unpacked binutils:amd64 2.28-5
2021-04-01 00:44:33 status unpacked binutils:amd64 2.28-5
2021-04-01 00:44:33 install libisl15:amd64 <none> 0.18-1
2021-04-01 00:44:33 status half-installed libisl15:amd64 0.18-1
2021-04-01 00:44:33 status unpacked libisl15:amd64 0.18-1
2021-04-01 00:44:33 status unpacked libisl15:amd64 0.18-1
2021-04-01 00:44:33 install libmpfr4:amd64 <none> 3.1.5-1
2021-04-01 00:44:33 status half-installed libmpfr4:amd64 3.1.5-1
2021-04-01 00:44:33 status unpacked libmpfr4:amd64 3.1.5-1
2021-04-01 00:44:33 status unpacked libmpfr4:amd64 3.1.5-1
2021-04-01 00:44:33 install libmpc3:amd64 <none> 1.0.3-1+b2
2021-04-01 00:44:33 status half-installed libmpc3:amd64 1.0.3-1+b2
2021-04-01 00:44:33 status unpacked libmpc3:amd64 1.0.3-1+b2
2021-04-01 00:44:33 status unpacked libmpc3:amd64 1.0.3-1+b2
2021-04-01 00:44:33 install cpp-6:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:33 status half-installed cpp-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked cpp-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked cpp-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install cpp:amd64 <none> 4:6.3.0-4
2021-04-01 00:44:34 status half-installed cpp:amd64 4:6.3.0-4
2021-04-01 00:44:34 status unpacked cpp:amd64 4:6.3.0-4
2021-04-01 00:44:34 status unpacked cpp:amd64 4:6.3.0-4
2021-04-01 00:44:34 install libcc1-0:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libcc1-0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libcc1-0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libcc1-0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libgomp1:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libitm1:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libitm1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libitm1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libitm1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libatomic1:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libasan3:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libasan3:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libasan3:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libasan3:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install liblsan0:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed liblsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked liblsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked liblsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libtsan0:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libtsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libtsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libtsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libubsan0:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libubsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libubsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libubsan0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libcilkrts5:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libcilkrts5:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libcilkrts5:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libcilkrts5:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libmpx2:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libmpx2:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libmpx2:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libmpx2:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libquadmath0:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install libgcc-6-dev:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed libgcc-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libgcc-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 status unpacked libgcc-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:34 install gcc-6:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:34 status half-installed gcc-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:35 status unpacked gcc-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:35 status unpacked gcc-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:35 install gcc:amd64 <none> 4:6.3.0-4
2021-04-01 00:44:35 status half-installed gcc:amd64 4:6.3.0-4
2021-04-01 00:44:35 status unpacked gcc:amd64 4:6.3.0-4
2021-04-01 00:44:35 status unpacked gcc:amd64 4:6.3.0-4
2021-04-01 00:44:35 install libc-dev-bin:amd64 <none> 2.24-11+deb9u4
2021-04-01 00:44:35 status half-installed libc-dev-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:35 status unpacked libc-dev-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:35 status unpacked libc-dev-bin:amd64 2.24-11+deb9u4
2021-04-01 00:44:35 install linux-libc-dev:amd64 <none> 4.9.258-1
2021-04-01 00:44:35 status half-installed linux-libc-dev:amd64 4.9.258-1
2021-04-01 00:44:35 status unpacked linux-libc-dev:amd64 4.9.258-1
2021-04-01 00:44:35 status unpacked linux-libc-dev:amd64 4.9.258-1
2021-04-01 00:44:35 install libc6-dev:amd64 <none> 2.24-11+deb9u4
2021-04-01 00:44:35 status half-installed libc6-dev:amd64 2.24-11+deb9u4
2021-04-01 00:44:36 status unpacked libc6-dev:amd64 2.24-11+deb9u4
2021-04-01 00:44:36 status unpacked libc6-dev:amd64 2.24-11+deb9u4
2021-04-01 00:44:36 install libstdc++-6-dev:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:36 status half-installed libstdc++-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:36 status unpacked libstdc++-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:36 status unpacked libstdc++-6-dev:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:36 install g++-6:amd64 <none> 6.3.0-18+deb9u1
2021-04-01 00:44:36 status half-installed g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:37 status unpacked g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:37 status unpacked g++-6:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:37 install g++:amd64 <none> 4:6.3.0-4
2021-04-01 00:44:37 status half-installed g++:amd64 4:6.3.0-4
2021-04-01 00:44:37 status unpacked g++:amd64 4:6.3.0-4
2021-04-01 00:44:37 status unpacked g++:amd64 4:6.3.0-4
2021-04-01 00:44:37 install golang-1.7-src:amd64 <none> 1.7.4-2+deb9u3
2021-04-01 00:44:37 status half-installed golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:39 status unpacked golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:39 status unpacked golang-1.7-src:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:39 install golang-1.7-go:amd64 <none> 1.7.4-2+deb9u3
2021-04-01 00:44:39 status half-installed golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:41 status unpacked golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:41 status unpacked golang-1.7-go:amd64 1.7.4-2+deb9u3
2021-04-01 00:44:41 install golang-src:amd64 <none> 2:1.7~5
2021-04-01 00:44:41 status half-installed golang-src:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-src:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-src:amd64 2:1.7~5
2021-04-01 00:44:41 install golang-go:amd64 <none> 2:1.7~5
2021-04-01 00:44:41 status half-installed golang-go:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-go:amd64 2:1.7~5
2021-04-01 00:44:41 status unpacked golang-go:amd64 2:1.7~5
2021-04-01 00:44:41 install libdpkg-perl:all <none> 1.18.25
2021-04-01 00:44:41 status half-installed libdpkg-perl:all 1.18.25
2021-04-01 00:44:41 status unpacked libdpkg-perl:all 1.18.25
2021-04-01 00:44:41 status unpacked libdpkg-perl:all 1.18.25
2021-04-01 00:44:41 install libfile-fcntllock-perl:amd64 <none> 0.22-3+b2
2021-04-01 00:44:41 status half-installed libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:41 status unpacked libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:41 status unpacked libfile-fcntllock-perl:amd64 0.22-3+b2
2021-04-01 00:44:41 install manpages-dev:all <none> 4.10-2
2021-04-01 00:44:41 status half-installed manpages-dev:all 4.10-2
2021-04-01 00:44:42 status unpacked manpages-dev:all 4.10-2
2021-04-01 00:44:42 status unpacked manpages-dev:all 4.10-2
2021-04-01 00:44:42 install pkg-config:amd64 <none> 0.29-4+b1
2021-04-01 00:44:42 status half-installed pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status unpacked pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 status unpacked pkg-config:amd64 0.29-4+b1
2021-04-01 00:44:42 startup packages configure
2021-04-01 00:44:42 configure libquadmath0:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libquadmath0:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libgomp1:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libgomp1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure libatomic1:amd64 6.3.0-18+deb9u1 <none>
2021-04-01 00:44:42 status unpacked libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status half-configured libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 status installed libatomic1:amd64 6.3.0-18+deb9u1
2021-04-01 00:44:42 configure manpages:all 4.10-2 <none>
2021-04-01 00:44:42 status unpacked manpages:all 4.10-2
2021-04-01 00:44:42 status half-configured manpages:all 4.10-2
2021-04-01 00:44:42 status installed manpages:all 4.10-2
